IDENTITAS ARMADA;;;;;;;;;;KEAMANAN;;;;;;;;;;;;;;;;;;;;KESELAMATAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;KENYAMANAN;;;;;;;;;;;;KESETARAAN;;;;;;;;;;;;KETERATURAN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;Time Stamp;Unit Kerja;Hari/Tanggal;Waktu Survey;KodeTrayek;Asal - Tujuan;No.Body;Jenis Layanan;Tipe Armada;Identitas Kendaraan;Identitas Kendaraan (Catatan);Tanda Pengenal Pengemudi dan Seragam Awak Kendaraan ;Tanda Pengenal Pengemudi dan Seragam Awak Kendaraan (Catatan);Lampu Isyarat Tanda Darurat;Lampu Isyarat Tanda Darurat (Catatan);Petugas Dalam Bus;Petugas Dalam Bus (Catatan);Kegelapan Kaca Film;Kegelapan Kaca Film (Catatan);Televisi Sirkuit Tertutup (Closed Circuit Television/CCTV);Televisi Sirkuit Tertutup (Closed Circuit Television/CCTV) (Catatan);Ruang Khusus Perempuan;Ruang Khusus Perempuan (Catatan);SOP Penanganan Keamanan;SOP Penanganan Keamanan (Catatan);Informasi Pengaduan Gangguan Keamanan;Informasi Pengaduan Gangguan Keamanan (Catatan);Stiker Larangan Kegiatan;Stiker Larangan Kegiatan (Catatan);SOP Pengoprasian Kendaraan;SOP Pengoprasian Kendaraan (Catatan);SOP Penanganan Keadaan Darurat;SOP Penanganan Keadaan Darurat (Catatan);Tata Cara Mengemudi;Tata Cara Mengemudi (Catatan);Jam Istirahat Pengemudi;Jam Istirahat Pengemudi (Catatan);Kelaikan Kendaraan;Kelaikan Kendaraan (Catatan);Kompetensi Pengemudi;Kompetensi Pengemudi (Catatan);Kelengkapan Administrasi Kendaraan;Kelengkapan Administrasi Kendaraan (Catatan);Fasilitas Keselamatan;Fasilitas Keselamatan (Catatan);Fasilitas Kesehatan;Fasilitas Kesehatan (Catatan);"Fasilitas Pegangan Penumpang Berdiri berupa ""Gantungan""";"Fasilitas Pegangan Penumpang Berdiri berupa ""Gantungan"" (Catatan)";Ketersediaan Nomor Pengaduan;Ketersediaan Nomor Pengaduan (Catatan);"Fasilitas Pegangan Penumpang Berdiri berupa ""Pegangan Tiang""";"Fasilitas Pegangan Penumpang Berdiri berupa ""Pegangan Tiang"" (Catatan)";Pintu Keluar dan/atau Masuk Penumpang;Pintu Keluar dan/atau Masuk Penumpang (Catatan);Interior Kendaraan;Interior Kendaraan (Catatan);Fasilitas Kemudahan Naik/Turun Penumpang;Fasilitas Kemudahan Naik/Turun Penumpang (Catatan);Lampu Penerangan;Lampu Penerangan (Catatan);Kepadatan;Kepadatan (Catatan);Fasilitas Pengatur Suhu Ruangan;Fasilitas Pengatur Suhu Ruangan (Catatan);Informasi Tata Krama Penumpang;Informasi Tata Krama Penumpang (Catatan);Batas Barang Bawaan;Batas Barang Bawaan (Catatan);Kebersihan dan Kerapian;Kebersihan dan Kerapian (Catatan);SOP Inklusivitas;SOP Inklusivitas (Catatan);Kursi Prioritas;Kursi Prioritas (Catatan);Stiker Kursi Prioritas;Stiker Kursi Prioritas (Catatan);Ruang Khusus untuk Kursi Roda;Ruang Khusus untuk Kursi Roda (Catatan);Tombol Berhenti Bus untuk Kelompok Prioritas;Tombol Berhenti Bus untuk Kelompok Prioritas (Catatan);Ramp;Ramp (Catatan);Waktu Kedatangan Antarbus (Headway);Waktu Kedatangan Antarbus (Headway) (Catatan);Kecepatan Perjalanan;Kecepatan Perjalanan (Catatan);Informasi Pelayanan;Informasi Pelayanan (Catatan);Kendaraan Yang Beroprasi;Kendaraan Yang Beroprasi (Catatan);Kondisi Kendaraan;Kondisi Kendaraan (Catatan);Dokumen Perjalanan;Dokumen Perjalanan (Catatan);Sistem Pemosisi Global (Global Positioning System/GPS);Sistem Pemosisi Global (Global Positioning System/GPS) (Catatan);Lokasi Pengendapan;Lokasi Pengendapan (Catatan);Waktu Berhenti Bus;Waktu Berhenti Bus (Catatan);Pengaduan Kinerja Layanan;Pengaduan Kinerja Layanan (Catatan);Lokasi Pengaturan Waktu Keberangkatan;Lokasi Pengaturan Waktu Keberangkatan (Catatan);Pos Petugas Pengaturan Waktu Keberangkatan;Pos Petugas Pengaturan Waktu Keberangkatan (Catatan);Mesin Pembaca Kartu;Mesin Pembaca Kartu (Catatan);Layanan Operasional;Layanan Operasional (Catatan);Ketersediaan Bus Stop;Ketersediaan Bus Stop (Catatan);Data Pelanggan;Data Pelanggan (Catatan);Kemudahan Pemesanan;Kemudahan Pemesanan (Catatan);Kemudahan Penjemputan;Kemudahan Penjemputan (Catatan)
1;09.36;Irsan ;Monday, 01 December 2025;Tidak Sibuk ;5N ;Ragunan - Kp. Melayu ;JDM - 230019;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Tidak;Tidak Ada;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
2;09.32;Irsan ;Monday, 01 December 2025;Tidak Sibuk ;5N ;Ragunan - Kp. Melayu ;JDM - 230018;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Tidak;Tidak Ada;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
3;09.22;Irsan ;Monday, 01 December 2025;Tidak Sibuk ;5N ;Ragunan - Kp. Melayu ;JDM - 230005;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Tidak;Tidak Ada;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
4;09.19;Irsan ;Monday, 01 December 2025;Tidak Sibuk ;5N ;Ragunan - Kp. Melayu ;JDM - 230062;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Tidak;Tidak Ada;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
5;09.17;Irsan ;Monday, 01 December 2025;Tidak Sibuk ;5N ;Ragunan - Kp. Melayu ;JDM - 230045;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Tidak;Tidak Ada;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
6;09.14;Irsan ;Monday, 01 December 2025;Tidak Sibuk ;5N ;Ragunan - Kp. Melayu ;JDM - 230046;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Tidak;Tidak Ada;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
7;09.25;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7B ;Kp. Rambutan - Blok M ;BMP - 240425;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
8;09.45;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7B ;Kp. Rambutan - Blok M ;BMP - 240422;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
9;09.47;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7B ;Kp. Rambutan - Blok M ;BMP - 240414;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
10;10.03;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7B ;Kp. Rambutan - Blok M ;BMP - 240424;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
11;10.17;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7B ;Kp. Rambutan - Blok M ;BMP - 240418;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
12;10.32;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7B ;Kp. Rambutan - Blok M ;BMP - 240421;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
13;10.35;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7B ;Kp. Rambutan - Blok M ;BMP - 240419;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
14;10.59;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7B ;Kp. Rambutan - Blok M ;BMP - 240412;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
15;11.06;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7B ;Kp. Rambutan - Blok M ;PSU - 240016;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
16;10.02;Tony ;Monday, 01 December 2025;Tidak Sibuk ;6N ;Ragunan - Blok M ;JDM - 230052;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Tidak;Kapas Terbuka Tidak Steril;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
17;10.07;Tony ;Monday, 01 December 2025;Tidak Sibuk ;6N ;Ragunan - Blok M ;JDM - 230050;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Tidak;Belum Mengisi LPSB ;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
18;10.11;Tony ;Monday, 01 December 2025;Tidak Sibuk ;6N ;Ragunan - Blok M ;JDM - 240087;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Tidak;Tombol Berhenti Rusak 1 (satu) Pcs ;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
19;10.15;Tony ;Monday, 01 December 2025;Tidak Sibuk ;6N ;Ragunan - Blok M ;JDM - 230058;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
20;09.29;Wiji;Monday, 01 December 2025;Tidak Sibuk ;7E;Kp. Rambutan - Ragunan ;MBT - 240622;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
21;10.20;Wiji;Monday, 01 December 2025;Tidak Sibuk ;7E;Kp. Rambutan - Ragunan ;MBT - 240620;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
22;10.30;Wiji;Monday, 01 December 2025;Tidak Sibuk ;7E;Kp. Rambutan - Ragunan ;MBT - 240626;Feeder Bus Sedang ;Bus Sedang ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
23;10.00;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7A;Kp. Rambutan - Lebak Bulus ;MYS - 22350;Feeder Bus Besar ;Low Entry ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
24;09.52;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7A;Kp. Rambutan - Lebak Bulus ;MYS - 22355;Feeder Bus Besar ;Low Entry ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
25;09.51;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7A;Kp. Rambutan - Lebak Bulus ;MYS - 22354;Feeder Bus Besar ;Low Entry ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
26;09.39;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7A;Kp. Rambutan - Lebak Bulus ;MYS - 22335;Feeder Bus Besar ;Low Entry ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
27;09.37;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7A;Kp. Rambutan - Lebak Bulus ;MYS - 22349;Feeder Bus Besar ;Low Entry ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
28;09.34;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7A;Kp. Rambutan - Lebak Bulus ;MYS - 22351;Feeder Bus Besar ;Low Entry ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
29;09.32;Rizky ;Monday, 01 December 2025;Tidak Sibuk ;7A;Kp. Rambutan - Lebak Bulus ;MYS - 22353;Feeder Bus Besar ;Low Entry ;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;Ya;;Ya;;Ya;;;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;;;;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;Ya;;;;;;;
